company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
136405,(주)위드인천에너지,2.0,2,2.0,1.0,2.5,1.5,3.0,1.0,50%,50%,0%,미래엔인천에너지
99124,해우테크(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,해우테크
413897,(주)태후코스메틱,3.0,1,3.0,3.0,4.0,3.0,3.0,3.0,100%,100%,0%,태후코스메틱
356264,(주)비치움,2.4,13,2.4,2.3,2.3,2.3,2.7,1.9,8%,15%,15%,비치움
48340,한빛소프트(주),2.6,210,2.6,2.0,3.0,2.6,2.3,2.0,25%,27%,6%,한빛
338836,씨제이나눔재단,3.7,9,3.7,3.6,3.4,3.3,3.2,3.3,78%,78%,33%,씨제이나눔재단
124600,에이스초음파(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,에이스초음파
190790,메트로이엔씨(주),2.4,7,2.4,1.7,2.9,2.0,2.3,1.6,14%,29%,0%,메트로이엔씨
74151,(주)사세 서울지점,2.8,20,2.8,3.1,2.6,2.4,2.7,2.4,30%,40%,40%,사세통상
333277,(주)에스에스엔지니어링,1.7,3,1.7,1.7,1.7,2.3,1.7,3.0,0%,33%,0%,에스에스엔지니어링
238608,에스와이산업(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,에스와이산업
32902,(주)바텍엠시스,2.1,58,2.1,2.2,2.0,2.4,2.1,1.7,19%,22%,5%,엠시스
112248,청운건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,청운건설
335166,(주)엔터웹,3.0,12,3.0,3.0,3.8,2.8,3.1,3.0,42%,50%,33%,엔터웹
98777,아그네스수산(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,아그네스수산
126143,아이피디(주),2.7,11,2.7,1.9,3.3,2.5,2.5,2.3,27%,36%,0%,아이피디
253960,우진텍크(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,우진텍
100875,선진수산영어조합법인,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,선진수산
421618,(재)대전과학산업진흥원,1.0,1,1.0,3.0,4.0,1.0,1.0,1.0,0%,0%,0%,대전과학산업진흥원
63111,영공방,2.7,3,2.7,2.3,3.7,2.3,3.3,2.0,67%,67%,0%,영공방
425117,(주)요필,2.5,2,2.5,2.0,3.0,1.0,3.0,1.0,0%,50%,0%,요필
391808,(주)넷타겟,3.5,11,3.5,4.5,4.6,4.1,3.8,3.2,55%,45%,45%,넷타겟
50123,(주)글로우원,2.5,115,2.5,2.7,3.4,2.7,2.5,2.2,18%,30%,5%,코엘
378899,(주)아이시티정보,4.2,5,4.2,3.4,3.6,3.0,2.6,2.0,40%,40%,0%,아이시티정보
348802,(주)백광테크,2.2,13,2.2,2.0,2.0,2.3,2.1,1.8,15%,31%,0%,백광테크
13629,이지케어텍(주),2.8,376,2.8,2.9,2.6,2.6,2.8,2.4,39%,52%,24%,어텍
374625,(주)로로스키니,1.0,1,1.0,2.0,5.0,3.0,1.0,1.0,0%,0%,0%,로로스키니
215902,동일이앤시(주),3.0,1,3.0,2.0,3.0,2.0,3.0,3.0,0%,0%,100%,동일이앤시
